,NAME,PHONE NO,COMPANY ORG,LOCATION,BIZ ADDRESS,SHARE CAPITAL,EMAIL,SECTOR,PRODUCT/SERVICES,NO OF EMPLOYEES,TURNOVER
,Fatima Batool General Enterpprise ,8035804566,,Sokoto,,"1,000,000",fatimabatoolenterprise@gmail.com,Production,SPICES,,,,,,
,Annur Groundnut Oil Industry ,7036419189,,Sokoto,,"5,000,000",umartambari0@gmail.com,Production,Groundnut Oil,,,,,,
,Luvly Kids Collection,8060379951,,Sokoto,,"2,000,000",ummukauthar41@gmail.com,Manfacturing,Babies wears,,,,,,
,Tauraro Dyeing Production Enterprise ,7033121916,,Sokoto,,"2,000,000",ahmadabdullahi778@gmail.com,Manfacturing,Dyeing ,,,,,,
,Hafaibais Multitrade and Services ,8135444919,,Sokoto,,"1,200,000",balkisuabubakargado@gmail.com,Production,Spices,,,,,,
,Asaf Khair & General Enterprise ,8065633022,,Sokoto,,"1,900,000",murjanatusallah.ms@gmail.com,Production,Cosmetics,,,,,,
,Deli Delightful Chops ,8093425141,,Sokoto,,"2,000,000",mariyaahmadsama@gmail.com,Production,Grasshpper/Dambu,,,,,,
,Dear Dayah Brand ,8093425141,,Sokoto,,"1,000,000",haleematuahmad@gmail.com,Production/Trading,Bedsheets/Natural Drinks,,,,,,
,Shelza Global Concept,8060039873,,Sokoto,,"1,899,000",aliyuhadiza@gmail.com,Production,Consumables,,,,,,
,General enterprises,8185338393,,Kano,,"2,000,000",maryamtahirsulaiman1990@gmail.com,Production,,,,,,,
,Safari Organic enterprises,8033119476,,Kano,,"250,000",mbdandago@gmail.com,Food Processing,,,,,,,
,B. ocean combined synergy,7030269999,,Kano,,"2,800,000",boceankidzone@gmail.com,"Oil processing, spices, clothing",,,,,,,
,House of tally,8142551105,,Kano,,"2,000,000",Houseoftall1@gmail.com,Vegetable oil (SAHALA),,,,,,,
,Zara’s Gallery,8109253526,,Kano,,"1,000.000",Fh9682805@gmail.com,Fashion and Design,,,,,,,
,Pinnacle Educational Service,8033119476,,Kano,,"2,500,000",Pinnacleschools07@gmail.com,Education,,,,,,,
,"Abraks farm produce &
Agro Allied Nig Ltd.",8034575627,,Kano,,"2,100,000","Rukuyyaaunar32@gmail.com
",Production,,,,,,,
,Habiba Maternity and Nursing Home,8036303358,,Kano,,"3,000.000",habibamaternityandnursing@gmail.com,Maternal health,,,,,,,
,DZ Crafts Nig,7062035875,,Kano,,"1,000.000","dzcrafts@gmail.com
m",Leather works,,,,,,,
,Salama Sarkie Clothes,9068003945,,Kano,,"4,500.000",abk3952@gmail.com,Clothing Production,,,,,,,
,Afreef Bakery Bits,8033119476,,Kano,,"500,000",dvayero90@gmail.com,Production,,,,,,,
,Ahnaf General Enterprises,8029077434,,Kano,,"500,000",ahnafgeneralenterpriceses@gmail.com,Manufacturing,,,,,,,
,Ummies creatives,8032219137,,Kano,,"2,200,000",Saadatubrahim@gmail.com,Furniture and more,,,,,,,
,Babar Binnie Agro Allied,7030360393,,Kano,,"2,000.000",saldykhaleel@gmail.com,Production,,,,,,,
,Masar Bauci Kano,8089323555,,Kano,,"2,000.000",Sadiqabau4@gmail.com,Food Production,,,,,,,
,Spine Orthopedic and neuro rehabilitation clinic,8037399903,,Kano,,"2,000.000",spinepty@gmail.com,Services,,,,,,,
,Alishett and famfa global ventures,8034616797,,Kano,,"3,000.000",Muhashettima63@gmail.com,Production,,,,,,,
,Lubzaan farms,7067451727,,Kano,,"2,000,000",Slamxxxxy8@gmail.com,,,,,,,,
,Mahudi Women Center,7038169908,,Kano,,"2,000.000",bilikisani484@gmail.com,Manufacturing and sales,,,,,,,
,Saudat and Sons Integrated,8035870155,,Kano,,"4,000.000",Abubakarsaude@gmail.com,Manufacturing,,,,,,,
,Saddy BP Enterprises,7035486090,,Kano,,"2,000.000",saadatuumar00@gmail.com,Sales and marketing,,,,,,,
,Sumayya Jakada Multipurpose,8135597919,,Kano,,"4,000.000",sumayyashuaibu35@gmail.com,Sales Production,,,,,,,
,KMK Tailoring Enterprises,8033795686,,Kano,,"2,000.000",smkyaboss@gmail.com,Tailoring,,,,,,,
