,NAME,PHONE NO,COMPANY ORG,LOCATION,BIZ ADDRESS,SHARE CAPITAL,EMAIL,SECTOR,PRODUCT/SERVICES,NO OF EMPLOYEES,TURNOVER
,HIVE GLOBAL INITIATIVE FOR THE NEEDY,234(0)8093234522,,Lagos,Palm Church Street Lagos Island,,hiveini@gmail.com,Education,Engaged In Creating Opputunities For Young People,,
,RED 19 PHOTOGRAPHY,234(0)8028599886,,Lagos,Oladoyinbo Street Aguda Ogba,,red19photography@gmail.com,Other Service Activities ,"Red19photography is an outfit that provides professional Children, Maternity and Family Photography services.",,
,CHILD SURVIVAL AND DEVELOPMENT ORGANISATION OF NIGERIA,234(0)8037113330,,Lagos,Oba Elegushi Road,,contact@csdon.org,Other Service Activities ,Promoting The Well-Being And Security Of The Nigerian Nay African Mother And Child ; Community-Based Campaigns For Health Awareness,,
,GLOBAL YOUNG ACADEMY AND AFRICA SCIENCE LEADERSHIP PROGRAM ALUMNI NIGERIA,234(0)8062359726,,Lagos,"Department Of Pharmacology, Therapeutics & Toxicology",,iyaemma@yahoo.com,Education,Advancement Of Young Scientist; Conduct Capacity Building Workshops Attend To Issues That Concerts Leadership Of New Scientsists,,
,DEVELOPMENT COMMUNICATIONS NETWORK,234(0)8023305142,,Lagos,Adebola Street Off Adeniran Ogunsanya Street,,info@devcoms.network.org,Information & Communication,"Communication Consultancy For Organizations; Audio And Video Production On Development Issues Like Health, Education And Environment",,
,PASTOR BIMBO ODUKOYA FOUNDATION,234(0)8093933439,,Lagos,Town Planning Way,,admin@pbofoundation.org,Other Service Activities ,"Engaged In Women Empowerment; To Protect The Rights Of Women And The Girl Child, Rescuing Them From All Forms Of Abuse And Empowering Them To Attain To Their Full Potential",,
,AFRICA VISION TRACT HOUSE SOCIETY,234(0)8058539157,,Lagos,Oadis Plaza Cmd Road,,info@tracthouse.org,Other Service Activities ,Engaged In Social Services,,
,VERTEVILLE ENERGY COMPANY LIMITED,234(0)8077691710,,Lagos,"Block 99, Plot 15, No 69 A Akintola Adeigbe Street, Lekki Phase 1",,aadeleye@acas-law.com; aadeleye@vertevilleenergy.com,Petroleum downstream,"Power Solutions And Oil And Gas - Engineering Procurement And Construction, Operations And Maintenance, Repairs And Lease Power Solutions Optimizing Transformer Performance, Renewal Energy Etc",,
,HITECH DESIGN FURNITURE LIMITED,234(1)2954318,,Lagos,11 Awolowo Road,,info@hdflng.com,Manufacturing,Manufacturer Of Home And Office Furniture,,
,TURRET INTERNATIONAL SERVICES LIMITED,234(0)8162000010,,Lagos,"9, Emina Crescent Off Toyin Street",,info@turretinternationalservices.com,Other Service Activities ,"Provision Of Procurement And Manpower Services, Facilities Management, Vessel Chartering And Subsea Services",,
,MINESYS ASSOCIATES,234(0)8077444421,,Lagos,"30, Oyatogun Street Oke-Ira",,minesys@ng.com,Information & Communication,Provides It Solutions And Services,,
,REAL MEDIA CONCEPTS NIGERIA,234(0)7014998330,,Lagos,1 Ibezim Obiajulu Street Off Adelabu Road,,rmecpeter@gmail.com,Information & Communication,"Media Solutions, Online Solutions And Marketing",,
,WESTFIELD SUBSEA LIMITED,234(0)7066077312,,Lagos,"Lekki Phase 1 Plot 23, Providence Street",,inf@westfieldsubsea.com,Construction,"Engineering, Procurement, Construction & Installation (Epci)",,
,HABILE LIMITED,234(0)7088659350,,Lagos,3B Wormwood Road Northern Foreshore,,tolulope.aina@habileworks.com,Information & Communication,Engaged In Digital Content Printing,,
,AGROEC CONSULTANTS,234(0)8023166106,,Lagos,Ifelodun Street Oremeji,,yomiadewunmi@yahoo.com,Other Service Activities ,Management Consultacy,,
,SPS MEDIA,234(0)8063229922,,Lagos,Caxton Fetugal Magodo Gra,,info@spsmediang.com,Other Service Activities ,"Video Production, Photography, Drone Services, Logistics And Crew",,
,SEAL ENERGY & INVESTMENT COMPANY LIMITED,234(0)8064087303,,Lagos,Plot 8B Kingsley Emu Street Lekki Phase 1,,info@seal-energy.com,Transport/storage,Special Transportation Services & Heavy Duty Equipment Supply,,
