SME_No,Company_Name,Company Address,City,Country_Name,Tel_Number,Email_address,Website,Legal_structure,LOB_Description,Sector
1,HEALTHCARE INTERNATIONAL NIGERIA LTD.,"308A, Murtala Mohammed Way, Yaba",Lagos,Nigeria,234(0)8052099099,info@healthcare-ng.com,www.healthcare-ng.com,Private limited co,Subject Is Into Healthcare Management Services.,Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
2,GOCUZ GROUP LIMITED,14A Karimu Kotun Street,Lagos,Nigeria,234(1)2623704,gocuzgroup@vgccl.net, ,Private limited co,"Subject Is Into Oil & Gas/Energy Services. Also, Sub-Station Construction And Oil Exportation.",Petroleum downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining & Quarrying
3,GREENLIFE PHARMACEUTICALS LIMITED,6/8 Association Avenue By Obanikoro Bus Stop,Lagos,Nigeria,234(0)8125157837,info@greenlifepharmaceuticals.com.ng,www.greenlifepharmaceuticals.com.ng,Private limited co,"Sales, Distribution And Marketing Of Pharmaceutical Products",Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing
4,M O G HOLDINGS LTD,103 Allen Avenue,Lagos,Nigeria,234(1)4971665,mogholdings at infoweb.abs.net, ,Private limited co,Subject Is A Furniture Maker. It Is Also Into Importation Of Medical Equipment And Automobiles. It Acts As General Merchants And Contractors.,Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction
5,SEA TRUCKS GROUP LIMITED,"Former 2nd Avenue 11, Oba Adeyinka Oyekan Avenue",Lagos,Nigeria,234(1)2774999,media@seatrucksgroup.com,www.seatrucksgroup.com,Private limited co,"Provides Offshore Installation, Accommodation And Marine Support Services To The Oil And Gas Industry",Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholesale/retail trade
6,AFRECOM NIGERIA LIMITED,61 Docemo Street Idumota Lagos,Lagos,Nigeria,234(0)8033356630, , ,Private limited co,Chemical And Allied Products Merchant Wholesalers;Wholesale of Shoe Polish,Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accommodation & Food Services
7,ALLIED COMPUTERS LIMITED,"227, Ikorodu Road",Lagos,Nigeria,234(0)9087123983,info@alliedcomputers-nig.com,www.alliedcomputers-nig.com,Private limited co,Information And Communication Technology (Ict) Company,Information & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information & Communication
8,ANIMAL CARE SERVICES KONSULT-NIGERIA LIMITED,"Km 2 Iperu Road, Ogere Remo",Lagos,Nigeria,234(0)8056290726,info@animalcare-ng.com; anicare@infoweb.abs.net,www.animalcare-ng.com (Not Working),Private limited co,"Manufactures Prepared Feeds, Engaged In Poultry And Eggs, Operates Testing Laboratories",Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
9,INLAKS COMPUTERS LIMITED,Plot 1611 Adeola Hopewell Street Off Adeyemo Alakija,Lagos,Nigeria,234(1)2801060,info@inlakscomputers.com,www.inlakscomputers.com,Private limited co,"Ict System Integrator, Infrastructure Business, Enterprise Business And Financial Business",Information & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power
10,THE CHAIR CENTRE LTD,Lekki-Epe Expressway,Lagos,Nigeria,234(1)2624899,chaircentre at alpha.linkserve.com, ,Private limited co,Subject Is Into Importation & Marketing Of Office Furniture.,Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petroleum downstream
11,GOODWILL IMPEX INTERNATIONAL LIMITED,Bishop Oluwole Street Off Ahmadu Bello Way,Lagos,Nigeria,234(1)2615521,goodwillengrgroup@nova.net.ng, ,Private limited co,"Importation & Sales Of Agric Sprayers, Building Materials, Industrial Chemical & General Contractor.",Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial Services
12,CLARION MEDICALS LIMITED,"23, Afolabi Lesi Street Off Town Planning Way",Lagos,Nigeria,234(0)8090149999,info@clarionmedicals.com,www.clarionmedicals.com,Private limited co,"Manufacture & Sale Of Pharmaceutical, Consumer Products & Dietary Supplements",Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Service Activities
13,A-Z PETROLEUM PRODUCTS LIMITED,21 Bourdillon Road Ikoyi,Lagos,Nigeria,234(1)4815985,a-zpetroleum@chicasongroup.com,www.chicasongroup.com (Group Website),Private limited co,Engaged As Lubricant Manufacturing And Marketing Company,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,STRASSCORP LIMITED,74 Adeniyi Jones Avenue Ikeja,Lagos,Nigeria,234(1)3427034,strassco@execs.com; info@strasscorp.com,www.strasscorp.com,Private Limited Liability Company,"Provides Engineering Service Provides Aviation, Defence, Communication And Consulting Services",Transport/storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,JOROTOM INTERNATIONAL AGENCY NIGERIA LTD,38 Adegbola Street Off Oba-Akran,Lagos,Nigeria,234(1)4932842, , ,Private limited co,Subject Is A Freight Forwarder & Shipping Agent,Transport/storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ALPHA PHARMACY & STORES LIMITED,2B Alabi Street Off Toyin Street,Lagos,Nigeria,234(1)2951804,alphapharmacylekki@gmail.com,www.alphapharmacy.com.ng,Private limited co,Manufactures Drugs And Supplies Hospital Equipment,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,DORMAN LONG ENGINEERING LIMITED,12/14 Agege Motor Road Idi Oro,Lagos,Nigeria,234(1)7748357,info@dormanlongeng.com,www.dormanlongeng.com,Private limited co,"Engaged Into Oilfield Equipment, Structural Steel, Marine Structures Engineering And Fabrication.
Process Equipment, Structural Steelworks, Procurement And Logistics Services, Equipment And Testing Services, Engineering And Construction, Pressure Vessels And Storage Tanks,Procurement, Fabrication, Galvanizing And Commissioning Company",Petroleum downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ENTERPRISE BANK LTD (EBL),Plot 143 Ahmadu Bello Way Victoria Island,Lagos,Nigeria,234(0)14619570, ,www.entbankng.com (not valid),Private limited co,"Financial Services - Loans, Checking, Savings, Investments, Debit Cards, Credit Cards",Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ARAB CONTRACTORS (OSMAN AHMED OSMAN) NIGERIA LTD,Plot 145 Ajose Adeogun Street,Lagos,Nigeria,234(1)2620313,nigeria@arabcont.com,www.arabcont.com (Global Website),Private Limited Liability Company,To Carry On The Business Of Civil Construction,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MARSHAL INTERNATIONAL CONTRACTORS LIMITED,24 Ado Avenue Apapa,Lagos,Nigeria,234(0)7068447393,info@marshalintl.com.ng; arinzea@marshalintl.com.ng,www.marshalintl.com.ng,Private Limited Liability Company,"Subject Company is engaged in the business of providing value-adding Engineering, Procurement, Construction and logistics services in Nigeria and the West African region.",Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A&P FOODS LIMITED,7 Henry Carr Street,Lagos,Nigeria,234(1)7901234,sales@haansbro.com,www.haansbro.com (Partially Working),Private limited co,"Produces And Markets Biscuits, Confectioneries, Vitamin C Drinks, And Health Products",Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,STALLION PLASTICS INDUSTRIES LIMITED,"Ajose Adeogun Street Plot 270A, Industrial Estate",Lagos,Nigeria,234(1)8741033,cyprian.nzekwe@stalliongroup.com,www.stalliongroup.com (Global Website),Private limited co,Manufacturer Of Household And Industrial Plastic Products,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
